,GID_0
0,AFG
1,XAD
2,Z03
3,ALA
4,ALB
5,DZA
6,ASM
7,AND
8,AGO
9,AIA
10,ATA
11,ATG
12,ARG
13,ARM
14,ABW
15,Z07
16,AUS
17,AUT
18,Z06
19,AZE
20,BHS
21,BHR
22,BGD
23,BRB
24,BLR
25,BEL
26,BLZ
27,BEN
28,BMU
29,BTN
30,BOL
31,BES
32,BIH
33,BWA
34,BVT
35,BRA
36,IOT
37,VGB
38,BRN
39,BGR
40,BFA
41,BDI
42,CPV
43,KHM
44,CMR
45,CAN
46,XCA
47,CYM
48,CAF
49,TCD
50,CHL
51,CHN
52,CXR
53,XCL
54,CCK
55,COL
56,COM
57,COK
58,CRI
59,CIV
60,HRV
61,CUB
62,CUW
63,CYP
64,CZE
65,COD
66,DNK
67,DJI
68,DMA
69,DOM
70,ECU
71,EGY
72,SLV
73,GNQ
74,ERI
75,EST
76,ETH
77,FLK
78,FRO
79,FJI
80,FIN
81,FRA
82,GUF
83,PYF
84,ATF
85,GAB
86,GMB
87,GEO
88,DEU
89,GHA
90,GIB
91,GRC
92,GRL
93,GRD
94,GLP
95,GUM
96,GTM
97,GGY
98,GNB
99,GIN
100,GUY
101,HTI
102,HMD
103,HND
104,HUN
105,ISL
106,IND
107,IDN
108,IRN
109,IRQ
110,IRL
111,IMN
112,ISR
113,ITA
114,JAM
115,Z01
116,JPN
117,JEY
118,JOR
119,Z04
120,KAZ
121,KEN
122,KIR
123,XKO
124,KWT
125,KGZ
126,LAO
127,Z05
128,LVA
129,LBN
130,LSO
131,LBR
132,LBY
133,LIE
134,LTU
135,LUX
136,MDG
137,MWI
138,MYS
139,MDV
140,MLI
141,MLT
142,MHL
143,MTQ
144,MRT
145,MUS
146,MYT
147,MEX
148,FSM
149,MDA
150,MCO
151,MNG
152,MNE
153,MSR
154,MAR
155,MOZ
156,MMR
157,NAM
158,NRU
159,NPL
160,NLD
161,NCL
162,NZL
163,NIC
164,NER
165,NGA
166,NIU
167,NFK
168,PRK
169,MKD
170,ZNC
171,MNP
172,NOR
173,OMN
174,Z08
175,PAK
176,PLW
177,PSE
178,PAN
179,PNG
180,XPI
181,PRY
182,PER
183,PHL
184,PCN
185,POL
186,PRT
187,PRI
188,QAT
189,COG
190,REU
191,ROU
192,RUS
193,RWA
194,BLM
195,MAF
196,SHN
197,KNA
198,LCA
199,SPM
200,VCT
201,WSM
202,SMR
203,Z09
204,STP
205,SAU
206,SEN
207,SRB
208,SYC
209,Z02
210,SLE
211,SGP
212,SXM
213,SVK
214,SVN
215,SLB
216,SOM
217,ZAF
218,SGS
219,KOR
220,SSD
221,ESP
222,XSP
223,LKA
224,SDN
225,SUR
226,SJM
227,SWZ
228,SWE
229,CHE
230,SYR
231,TWN
232,TJK
233,TZA
234,THA
235,TLS
236,TGO
237,TKL
238,TON
239,TTO
240,TUN
241,TUR
242,TKM
243,TCA
244,TUV
245,UGA
246,UKR
247,ARE
248,GBR
249,UMI
250,USA
251,URY
252,UZB
253,VUT
254,VAT
255,VEN
256,VNM
257,VIR
258,WLF
259,ESH
260,YEM
261,ZMB
262,ZWE
263,HKG
264,MAC
